dataset,category,train,test,valid,size,num_classes,yolov5,yolov7,yolov8,glip,num_datasets
soda-bottles,real world,1547,216,486,2249,6.0,0.964,,0.96,0.098,1
truck-movement,real world,740,107,215,1062,7.0,0.786,0.846,0.858,0.007,1
wine-labels,real world,3172,630,841,4643,12.0,0.569,0.632,0.642,0.045,1
digits-t2eg6,real world,2912,367,824,4103,10.0,0.989,0.989,0.991,0.003,1
vehicles-q0x2v,real world,2634,458,966,4058,,0.454,0.464,0.472,0.029,1
peanuts-sd4kf,real world,268,42,77,387,2.0,0.995,0.997,0.995,0.358,1
printed-circuit-board,real world,548,44,80,672,34.0,0.0907,,,0.0,1
pests-2xlvx,real world,509,55,153,717,28.0,0.136,0.029,0.209,0.004,1
cavity-rs0uf,real world,287,38,93,418,2.0,0.782,0.799,0.765,0.029,1
leaf-disease-nsdsr,real world,1589,296,616,2501,3.0,0.531,0.56,0.573,0.027,1
marbles,real world,54,32,19,105,2.0,0.992,0.473,0.986,0.03,1
pills-sxdht,real world,316,45,90,451,8.0,0.869,0.867,0.987,0.194,1
poker-cards-cxcvz,real world,964,128,193,1285,53.0,0.886,0.251,0.995,-0.0,1
number-ops,real world,4869,623,1636,7128,15.0,0.99,0.992,0.992,0.055,1
insects-mytwu,real world,696,100,199,995,10.0,0.89,0.858,0.882,0.024,1
cotton-20xz5,real world,367,20,19,406,4.0,0.569,0.591,0.513,0.157,1
furniture-ngpea,real world,454,74,161,689,3.0,0.983,0.968,0.979,0.836,1
cable-damage,real world,919,134,265,1318,2.0,0.91,0.574,,0.006,1
animals-ij5d2,real world,700,100,200,1000,10.0,0.761,0.342,0.835,0.249,1
coins-1apki,real world,6121,699,1599,8419,4.0,0.932,0.977,0.966,0.175,1
apples-fvpl5,real world,489,30,178,697,2.0,0.779,0.791,0.785,,1
people-in-paintings,real world,634,81,194,909,1.0,0.575,0.678,0.561,0.168,1
circuit-voltages,real world,92,15,25,132,6.0,0.797,0.257,0.894,0.009,1
uno-deck,real world,6295,899,1798,8992,15.0,0.993,0.994,0.993,0.013,1
grass-weeds,real world,1661,245,580,2486,1.0,0.781,0.781,0.784,0.106,1
gauge-u2lwv,real world,158,25,52,235,2.0,0.642,0.668,0.661,0.217,1
sign-language-sokdr,real world,504,72,144,720,26.0,0.87,0.255,0.966,0.006,1
valentines-chocolate,real world,68,6,13,87,22.0,0.11,0.0593,0.978,0.013,1
fish-market-ggjso,real world,14180,1202,3116,18498,21.0,0.92,0.988,0.993,0.013,1
lettuce-pallets,real world,1060,151,299,1510,5.0,0.945,0.966,0.956,0.031,1
shark-teeth-5atku,real world,191,36,53,280,4.0,0.948,0.863,0.991,0.025,1
bees-jt5in,real world,5640,836,1604,8080,1.0,0.891,0.68,0.901,0.009,1
sedimentary-features-9eosf,real world,156,21,45,222,5.0,0.327,0.244,0.455,0.0,1
currency-v4f8j,real world,576,82,155,813,10.0,0.583,0.514,0.877,0.099,1
trail-camera,real world,941,131,239,1311,2.0,0.966,0.969,0.966,0.512,1
cell-towers,real world,705,101,202,1008,2.0,0.939,0.942,0.947,0.053,1
